id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
856496122543907394,Athens Design Suites - Cozy Suite,311687197,George,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9775557,23.7266288,Private room,,1,2,2023-12-19,0.15,14,336,0,00001378665
856542088933002172,Brand new apartment 10 min walk to metro station,178065882,Peggy,,ΓΚΑΖΙ,37.97806145385482,23.70929203927517,Entire home/apt,50,3,10,2024-11-16,0.48,7,327,4,00001957569
856581536246620930,Fix 2bd apartment with Parthenon view,152449611,Athina And/Or Eleni,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9627572,23.726189,Entire home/apt,110,2,22,2024-09-24,1.05,22,351,11,00002569481
856610351567376217,Sunny and Comfy Apartment in kolonaki,152449611,Athina And/Or Eleni,,ΛΥΚΑΒΗΤΤΟΣ,37.9800968,23.7453164,Entire home/apt,140,1,26,2024-10-10,1.30,22,365,9,00002554250
856927659227263481,Acropolis View Oasis@City Center,31290848,Nasos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9770227,23.7283953,Entire home/apt,85,2,95,2024-12-15,4.52,70,48,46,00001959456
856939102785843515,Το Σπιτάκι της Γιαγιάς,148590609,Yakinthos,,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,37.9919,23.72108,Entire home/apt,40,3,32,2024-10-01,1.60,1,349,11,00001959249
856981797159993203,Evita's luxury apartments 302,507429937,Νικολαος,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9906998,23.7225378,Entire home/apt,57,2,2,2024-12-01,0.09,4,263,1,00001960267
857021722595579451,Cozy apartment walking distance to the center,178065882,Peggy,,ΓΚΑΖΙ,37.97761305919466,23.709528856863468,Entire home/apt,40,2,8,2024-03-20,0.39,7,343,1,00001957532
857029912318532167,Minimal comfy apartment with private balcony,178065882,Peggy,,ΓΚΑΖΙ,37.97803925431376,23.709399327635765,Entire home/apt,40,3,8,2024-05-14,0.40,7,357,3,00001957595
857046007375875179,Studio 20 min walking distance to Athens center,178065882,Peggy,,ΓΚΑΖΙ,37.97785372931509,23.70956227183342,Entire home/apt,35,2,3,2024-03-27,0.15,7,359,1,00001957511
857050660482907891,Downtown apartment next to metro station,178065882,Peggy,,ΓΚΑΖΙ,37.97788095024882,23.70958037674427,Entire home/apt,35,3,4,2023-09-23,0.20,7,352,0,00001957607
857054304948830366,Βright apartment on the 2nd floor with balcony,178065882,Peggy,,ΓΚΑΖΙ,37.977949663240466,23.709440231323242,Entire home/apt,55,3,9,2024-03-14,0.43,7,299,1,00001957612
857057053013140461,Cozy fully equiped apartment next to the rooftop,178065882,Peggy,,ΓΚΑΖΙ,37.97788385733821,23.7095408141613,Entire home/apt,35,2,14,2024-10-07,0.84,7,342,10,00001957628
857144522430244234,Κέντρο Αθήνας Κολωνάκι,507467124,Νεφέλη Φωτεινή,,ΚΟΛΩΝΑΚΙ,37.9797499,23.7375997,Entire home/apt,96,1,23,2024-10-05,1.18,1,365,4,00002765814
857169777199108244,Athens Design Suites - Elegant Suite,311687197,George,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9775557,23.7266288,Private room,123,1,0,,,14,340,0,00001378665
857215908825700926,Athens Design Suites -  Supreme Suite,311687197,George,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9775557,23.7266288,Private room,116,1,1,2023-10-16,0.07,14,351,0,00001378665
857245714427687671,Theseus Retreat 10' walk from the Acropolis.,187667199,Indigo,,ΘΗΣΕΙΟ,37.9761507,23.7178955,Entire home/apt,69,2,15,2024-11-14,0.71,6,317,4,00002107647
